algoritmo,arquivo,tentativa,tempo,memoria
exaustiva,input-12.txt,1,0.16165590286254883,5
exaustiva,input-12.txt,2,0.16406536102294922,5
exaustiva,input-12.txt,3,0.15300250053405762,5
exaustiva,input-12.txt,4,0.1678001880645752,5
exaustiva,input-12.txt,5,0.16382884979248047,5
exaustiva,input-16.txt,1,0.1630539894104004,5
exaustiva,input-16.txt,2,0.16482138633728027,5
exaustiva,input-16.txt,3,0.16330385208129883,5
exaustiva,input-16.txt,4,0.15016913414001465,5
exaustiva,input-16.txt,5,0.17291498184204102,5
exaustiva,input-20.txt,1,0.21880006790161133,7
exaustiva,input-20.txt,2,0.23344206809997559,7
exaustiva,input-20.txt,3,0.22489500045776367,7
exaustiva,input-20.txt,4,0.23521184921264648,7
exaustiva,input-20.txt,5,0.21454620361328125,7
exaustiva,input-24.txt,1,1.2353131771087646,8
exaustiva,input-24.txt,2,1.4138154983520508,8
exaustiva,input-24.txt,3,1.243786334991455,8
exaustiva,input-24.txt,4,1.3874826431274414,8
exaustiva,input-24.txt,5,1.3753628730773926,8
exaustiva,input-28.txt,1,8.832422733306885,8
exaustiva,input-28.txt,2,9.932473421096802,8
exaustiva,input-28.txt,3,10.284240245819092,8
exaustiva,input-28.txt,4,10.525779962539673,8
exaustiva,input-28.txt,5,10.593801021575928,8
exaustiva,input-30.txt,1,288.2222259044647,7
exaustiva,input-30.txt,2,295.75864458084106,7
exaustiva,input-30.txt,3,316.88228487968445,7
exaustiva,input-30.txt,4,334.5934958457947,7
exaustiva,input-30.txt,5,291.08957386016846,7
exaustiva_thrust,input-12.txt,1,0.3446197509765625,5
exaustiva_thrust,input-12.txt,2,0.300994873046875,5
exaustiva_thrust,input-12.txt,3,0.30516481399536133,5
exaustiva_thrust,input-12.txt,4,0.30244016647338867,5
exaustiva_thrust,input-12.txt,5,0.31033873558044434,5
exaustiva_thrust,input-16.txt,1,0.3014719486236572,5
exaustiva_thrust,input-16.txt,2,0.29120612144470215,5
exaustiva_thrust,input-16.txt,3,0.29926109313964844,5
exaustiva_thrust,input-16.txt,4,0.30565500259399414,5
exaustiva_thrust,input-16.txt,5,0.3010284900665283,5
exaustiva_thrust,input-20.txt,1,0.31381988525390625,6
exaustiva_thrust,input-20.txt,2,0.3096616268157959,6
exaustiva_thrust,input-20.txt,3,0.3052980899810791,6
exaustiva_thrust,input-20.txt,4,0.3229081630706787,6
exaustiva_thrust,input-20.txt,5,0.30729031562805176,6
exaustiva_thrust,input-24.txt,1,0.42269134521484375,8
exaustiva_thrust,input-24.txt,2,0.4380919933319092,8
exaustiva_thrust,input-24.txt,3,0.4231133460998535,8
exaustiva_thrust,input-24.txt,4,0.43297243118286133,8
exaustiva_thrust,input-24.txt,5,0.4116325378417969,8
exaustiva_thrust,input-28.txt,1,1.2953288555145264,8
exaustiva_thrust,input-28.txt,2,1.2774765491485596,8
exaustiva_thrust,input-28.txt,3,1.2661118507385254,8
exaustiva_thrust,input-28.txt,4,1.2233521938323975,8
exaustiva_thrust,input-28.txt,5,1.237269639968872,8
exaustiva_thrust,input-30.txt,1,35.64651322364807,7
exaustiva_thrust,input-30.txt,2,30.393611669540405,7
exaustiva_thrust,input-30.txt,3,31.11636996269226,7
exaustiva_thrust,input-30.txt,4,29.697356462478638,7
exaustiva_thrust,input-30.txt,5,29.630131483078003,7
